,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
50,"(0.6184146404266357, 0.29958364367485046)","(0.6373773217201233, 0.29532697796821594)","(0.6071282625198364, 0.2888503670692444)","(0.6517004370689392, 0.31066903471946716)","(0.5832381248474121, 0.29667264223098755)","(0.6469212174415588, 0.36847230792045593)","(0.5410469174385071, 0.3468271791934967)","(0.6495088338851929, 0.43976059556007385)","(0.5680426955223083, 0.42965370416641235)","(0.6261955499649048, 0.37915053963661194)","(0.6096526980400085, 0.4893549680709839)","(0.5586521625518799, 0.5015735626220703)","(0.4858066737651825, 0.4910030961036682)","(0.5663962364196777, 0.6005337238311768)","(0.4522773325443268, 0.5846099257469177)","(0.573840320110321, 0.6865206360816956)","(0.46768486499786377, 0.6340391039848328)"
51,"(0.6261304020881653, 0.2993469536304474)","(0.6431689858436584, 0.29504474997520447)","(0.6115650534629822, 0.2898815870285034)","(0.6541105508804321, 0.31046247482299805)","(0.5836653709411621, 0.2987188696861267)","(0.6484675407409668, 0.37033018469810486)","(0.5401058793067932, 0.35174939036369324)","(0.6522029042243958, 0.4392877519130707)","(0.5731641054153442, 0.43715113401412964)","(0.6259158253669739, 0.37620192766189575)","(0.6156893372535706, 0.489063560962677)","(0.564924955368042, 0.4980570673942566)","(0.4907078146934509, 0.4890240430831909)","(0.5682323575019836, 0.5997155904769897)","(0.45157763361930847, 0.5801403522491455)","(0.5711371898651123, 0.6860822439193726)","(0.46647804975509644, 0.6306822896003723)"
52,"(0.6296245455741882, 0.3025833070278168)","(0.6451898813247681, 0.29797956347465515)","(0.6161183714866638, 0.29235008358955383)","(0.6523292064666748, 0.31071147322654724)","(0.5844622254371643, 0.3001351058483124)","(0.6476290822029114, 0.3693550229072571)","(0.5433589220046997, 0.3499319553375244)","(0.655911922454834, 0.4356989562511444)","(0.5707523822784424, 0.4377787709236145)","(0.6229533553123474, 0.37684881687164307)","(0.6183608770370483, 0.480795294046402)","(0.5663713812828064, 0.4992557466030121)","(0.4908086359500885, 0.4905979335308075)","(0.5705456137657166, 0.6004114151000977)","(0.4492308497428894, 0.5800942778587341)","(0.5720149874687195, 0.6851298809051514)","(0.4630672037601471, 0.6309828758239746)"
53,"(0.6329168677330017, 0.3019431233406067)","(0.6477503776550293, 0.2956372797489166)","(0.6177350282669067, 0.2925449013710022)","(0.6551810503005981, 0.30825427174568176)","(0.5843342542648315, 0.30183085799217224)","(0.643214225769043, 0.36997246742248535)","(0.5482181310653687, 0.3531269431114197)","(0.6569270491600037, 0.43458226323127747)","(0.5719135403633118, 0.4399380385875702)","(0.6258378028869629, 0.38026705384254456)","(0.6220852136611938, 0.4764690399169922)","(0.5636442303657532, 0.5048779845237732)","(0.4908190965652466, 0.4949796497821808)","(0.5692651867866516, 0.5990790128707886)","(0.44963788986206055, 0.5794720649719238)","(0.5711972117424011, 0.6852301955223083)","(0.46097221970558167, 0.6307460069656372)"
54,"(0.6362632513046265, 0.30632081627845764)","(0.6486489772796631, 0.29856863617897034)","(0.6212241053581238, 0.2947710454463959)","(0.6506558060646057, 0.3075033128261566)","(0.5850248336791992, 0.3006833791732788)","(0.6459515690803528, 0.3664775788784027)","(0.5450441837310791, 0.3504755198955536)","(0.6565659642219543, 0.4324195981025696)","(0.5734089612960815, 0.44175294041633606)","(0.6235727071762085, 0.37791189551353455)","(0.6201300024986267, 0.4694873094558716)","(0.5642321109771729, 0.500663161277771)","(0.4890911877155304, 0.49253585934638977)","(0.5708851218223572, 0.6005905866622925)","(0.4501934349536896, 0.5792908668518066)","(0.5723482370376587, 0.685293972492218)","(0.4608858525753021, 0.6318553686141968)"
55,"(0.6370368003845215, 0.3073769807815552)","(0.6504387855529785, 0.2986640930175781)","(0.6232082843780518, 0.2948857545852661)","(0.6509509682655334, 0.3064044117927551)","(0.5874279737472534, 0.29947471618652344)","(0.6466493606567383, 0.36544692516326904)","(0.5430743098258972, 0.3479853570461273)","(0.66010582447052, 0.43197008967399597)","(0.5713210105895996, 0.43936777114868164)","(0.621216893196106, 0.3801073133945465)","(0.620182991027832, 0.4658077359199524)","(0.5642980933189392, 0.5007654428482056)","(0.491502046585083, 0.49226319789886475)","(0.5705463290214539, 0.598838210105896)","(0.4500507414340973, 0.5813290476799011)","(0.573663592338562, 0.6829785704612732)","(0.4588090181350708, 0.6319177150726318)"
56,"(0.6413553357124329, 0.3063129484653473)","(0.6510494947433472, 0.29791513085365295)","(0.6247326731681824, 0.29486680030822754)","(0.64849853515625, 0.3037903308868408)","(0.5876989960670471, 0.2990582585334778)","(0.6406579613685608, 0.3641310930252075)","(0.5429714322090149, 0.34768468141555786)","(0.6584469676017761, 0.431362122297287)","(0.5708873867988586, 0.43684086203575134)","(0.6188003420829773, 0.3761274814605713)","(0.6285019516944885, 0.46436548233032227)","(0.5642049312591553, 0.5014334917068481)","(0.491786390542984, 0.4932158291339874)","(0.5734468698501587, 0.5987881422042847)","(0.4503703713417053, 0.5794585943222046)","(0.5724817514419556, 0.6838332414627075)","(0.4585125744342804, 0.6325695514678955)"
57,"(0.6419469714164734, 0.3054128587245941)","(0.6506062746047974, 0.2965884506702423)","(0.6247624158859253, 0.2941518723964691)","(0.646574079990387, 0.3025280237197876)","(0.58678138256073, 0.2989436984062195)","(0.6445456147193909, 0.36089757084846497)","(0.5382615923881531, 0.34512439370155334)","(0.6508752703666687, 0.4280916154384613)","(0.5682704448699951, 0.4300895631313324)","(0.6158075928688049, 0.3776373863220215)","(0.6309185028076172, 0.46357592940330505)","(0.565341591835022, 0.5006593465805054)","(0.49207985401153564, 0.49281150102615356)","(0.5729641914367676, 0.598114550113678)","(0.4535994529724121, 0.5816609859466553)","(0.5722963213920593, 0.6820114850997925)","(0.45881587266921997, 0.6296365857124329)"
58,"(0.6408436298370361, 0.30627772212028503)","(0.6493654251098633, 0.2975026071071625)","(0.6261888146400452, 0.2943999171257019)","(0.6429023742675781, 0.3021429777145386)","(0.5868353247642517, 0.29811549186706543)","(0.6463046669960022, 0.35988473892211914)","(0.5381750464439392, 0.3439751863479614)","(0.6499159932136536, 0.4331532120704651)","(0.5667089223861694, 0.4317779242992401)","(0.6124845743179321, 0.378528356552124)","(0.633256733417511, 0.46124228835105896)","(0.5654823184013367, 0.5020592212677002)","(0.49215516448020935, 0.49251097440719604)","(0.5734866261482239, 0.5995949506759644)","(0.4549334943294525, 0.5817130208015442)","(0.5726701617240906, 0.6837148666381836)","(0.46054884791374207, 0.6271278262138367)"
59,"(0.6385518312454224, 0.3049136996269226)","(0.6485964059829712, 0.297446608543396)","(0.6246795654296875, 0.294233500957489)","(0.6478769183158875, 0.3039139211177826)","(0.5862331390380859, 0.29790961742401123)","(0.6416749358177185, 0.36105871200561523)","(0.5346744060516357, 0.3478669226169586)","(0.6459320187568665, 0.42898625135421753)","(0.5634011626243591, 0.429057776927948)","(0.6121074557304382, 0.37967151403427124)","(0.6304875016212463, 0.4614297151565552)","(0.5675811767578125, 0.5017089247703552)","(0.4959248900413513, 0.49108976125717163)","(0.5738897919654846, 0.5984140038490295)","(0.45526421070098877, 0.5842588543891907)","(0.572284460067749, 0.6834476590156555)","(0.4609996974468231, 0.6260539889335632)"
60,"(0.6402953267097473, 0.3049931526184082)","(0.6478450894355774, 0.2967659533023834)","(0.6254649758338928, 0.293357789516449)","(0.6395478248596191, 0.30241063237190247)","(0.5849832892417908, 0.29496443271636963)","(0.6442537307739258, 0.35743701457977295)","(0.5334826111793518, 0.3440418541431427)","(0.6439664363861084, 0.4253629744052887)","(0.5576068162918091, 0.42503494024276733)","(0.6130465269088745, 0.38150742650032043)","(0.6268385648727417, 0.4628104865550995)","(0.5677266120910645, 0.5022064447402954)","(0.49468794465065, 0.49196335673332214)","(0.5743957757949829, 0.5979332327842712)","(0.4572039842605591, 0.5802680850028992)","(0.5713098049163818, 0.6835770010948181)","(0.4625479280948639, 0.6272210478782654)"
