,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
47,"(0.5261937379837036, 0.36456337571144104)","(0.536654531955719, 0.3583737909793854)","(0.5179664492607117, 0.3561328947544098)","(0.5473883152008057, 0.36352846026420593)","(0.5052520036697388, 0.3598620593547821)","(0.5646664500236511, 0.40310990810394287)","(0.47985801100730896, 0.3843611478805542)","(0.5643253922462463, 0.4532935321331024)","(0.43747803568840027, 0.33764171600341797)","(0.5619704723358154, 0.4978307783603668)","(0.4599767327308655, 0.3030740022659302)","(0.5315518975257874, 0.49779507517814636)","(0.4843482971191406, 0.49494117498397827)","(0.5269002318382263, 0.5818018913269043)","(0.4927607476711273, 0.5852387547492981)","(0.521262526512146, 0.6528068780899048)","(0.480333149433136, 0.6393092274665833)"
48,"(0.5246725678443909, 0.3629031479358673)","(0.5354770421981812, 0.35674190521240234)","(0.5171887874603271, 0.35501962900161743)","(0.5472203493118286, 0.36210983991622925)","(0.5074712634086609, 0.3600216209888458)","(0.564816415309906, 0.40462207794189453)","(0.48187312483787537, 0.3840220272541046)","(0.5646290183067322, 0.4530458450317383)","(0.4456515312194824, 0.33542925119400024)","(0.5648142099380493, 0.5008453130722046)","(0.45740437507629395, 0.28899794816970825)","(0.5320221185684204, 0.49820536375045776)","(0.4844883382320404, 0.4935220181941986)","(0.5266616344451904, 0.5803053379058838)","(0.4928935766220093, 0.5834013819694519)","(0.5203744173049927, 0.6522803902626038)","(0.4780404269695282, 0.6382668614387512)"
49,"(0.5247656106948853, 0.3646393120288849)","(0.5362650752067566, 0.3571578562259674)","(0.5162740349769592, 0.3559664785861969)","(0.5488580465316772, 0.3615614175796509)","(0.5059303641319275, 0.36024150252342224)","(0.5656533241271973, 0.4034520387649536)","(0.48198574781417847, 0.3824411928653717)","(0.5653789043426514, 0.45249852538108826)","(0.45201265811920166, 0.34028396010398865)","(0.5696617960929871, 0.49890631437301636)","(0.4562225341796875, 0.29358699917793274)","(0.5354077219963074, 0.5003260374069214)","(0.48422208428382874, 0.4972230792045593)","(0.5264075398445129, 0.5847334265708923)","(0.49190887808799744, 0.5838025212287903)","(0.5217453837394714, 0.6527255773544312)","(0.4784807860851288, 0.6374014616012573)"
50,"(0.5247929096221924, 0.3657204806804657)","(0.5355469584465027, 0.3585834801197052)","(0.5155506730079651, 0.3567942976951599)","(0.5476565957069397, 0.36315691471099854)","(0.505208432674408, 0.35943299531936646)","(0.5640459060668945, 0.4025871753692627)","(0.4837294816970825, 0.3848080635070801)","(0.565530002117157, 0.4558698832988739)","(0.46128514409065247, 0.34673020243644714)","(0.5709570646286011, 0.5054911971092224)","(0.4594840109348297, 0.29283034801483154)","(0.5358487963676453, 0.5007361769676208)","(0.4845556616783142, 0.4968300759792328)","(0.5267261266708374, 0.5856092572212219)","(0.4925301969051361, 0.5847552418708801)","(0.5215563178062439, 0.6535769701004028)","(0.4792613983154297, 0.637947142124176)"
51,"(0.5251261591911316, 0.364597350358963)","(0.535926342010498, 0.3568822741508484)","(0.5177991390228271, 0.3556640148162842)","(0.547218382358551, 0.36166277527809143)","(0.5055213570594788, 0.3580585718154907)","(0.5620191693305969, 0.4031159281730652)","(0.4824196994304657, 0.37975427508354187)","(0.5647794604301453, 0.45652949810028076)","(0.474948525428772, 0.36034706234931946)","(0.5728353261947632, 0.510383129119873)","(0.46211332082748413, 0.3016763925552368)","(0.5353510975837708, 0.5019708871841431)","(0.4849275052547455, 0.4995800852775574)","(0.5267273187637329, 0.5853790640830994)","(0.4935466945171356, 0.5841025710105896)","(0.5217487215995789, 0.6530129313468933)","(0.4771333932876587, 0.6397818326950073)"
52,"(0.5268152356147766, 0.3645710051059723)","(0.5367088913917542, 0.3567383587360382)","(0.5176149606704712, 0.35622334480285645)","(0.547585129737854, 0.361439973115921)","(0.5048384070396423, 0.35900813341140747)","(0.5626813769340515, 0.4022303521633148)","(0.48300662636756897, 0.38219183683395386)","(0.5644749999046326, 0.4557870030403137)","(0.4760441482067108, 0.3385016620159149)","(0.5762159824371338, 0.5063450932502747)","(0.46371355652809143, 0.30631276965141296)","(0.5337156057357788, 0.49979206919670105)","(0.4862043857574463, 0.49596160650253296)","(0.5277969837188721, 0.5850327014923096)","(0.49330195784568787, 0.5838605761528015)","(0.522002637386322, 0.6531923413276672)","(0.47852614521980286, 0.6375280618667603)"
53,"(0.5280839800834656, 0.3632047772407532)","(0.5381817817687988, 0.3569560647010803)","(0.5199273824691772, 0.3555978536605835)","(0.5473194122314453, 0.3623737096786499)","(0.5052181482315063, 0.36010536551475525)","(0.560083270072937, 0.4041074812412262)","(0.4824661910533905, 0.38574039936065674)","(0.5633009672164917, 0.4559305012226105)","(0.47476938366889954, 0.36256906390190125)","(0.578254222869873, 0.5096533894538879)","(0.4715886414051056, 0.32324132323265076)","(0.5340862274169922, 0.49976035952568054)","(0.4870781898498535, 0.4964728355407715)","(0.5274664759635925, 0.5831839442253113)","(0.4933023154735565, 0.5836992859840393)","(0.5213633179664612, 0.6525715589523315)","(0.4777354896068573, 0.6387199759483337)"
54,"(0.5294517874717712, 0.36300715804100037)","(0.5384840369224548, 0.3562562167644501)","(0.5209294557571411, 0.35497233271598816)","(0.5471119284629822, 0.36152276396751404)","(0.5061913132667542, 0.3594406545162201)","(0.5617197155952454, 0.40278705954551697)","(0.48285815119743347, 0.3862335681915283)","(0.5622633695602417, 0.45499664545059204)","(0.4766380488872528, 0.37022557854652405)","(0.5770382881164551, 0.5071774125099182)","(0.47287189960479736, 0.3347732424736023)","(0.5321967601776123, 0.4982624053955078)","(0.4865274131298065, 0.49523255228996277)","(0.5264043211936951, 0.5839704871177673)","(0.49246618151664734, 0.5848128199577332)","(0.5201777815818787, 0.6543082594871521)","(0.47828003764152527, 0.6366491913795471)"
55,"(0.5284386277198792, 0.36232468485832214)","(0.5376937389373779, 0.356214702129364)","(0.5209085941314697, 0.3552044928073883)","(0.5473039150238037, 0.36127161979675293)","(0.5075315833091736, 0.358185738325119)","(0.5611896514892578, 0.4005909860134125)","(0.48590052127838135, 0.3885374069213867)","(0.561890721321106, 0.4534759521484375)","(0.4791921079158783, 0.3522643744945526)","(0.5778730511665344, 0.505719780921936)","(0.5020068287849426, 0.3446590304374695)","(0.5329025983810425, 0.4977184236049652)","(0.4866642355918884, 0.49513810873031616)","(0.5262899398803711, 0.5847284197807312)","(0.49281808733940125, 0.5856912732124329)","(0.520126461982727, 0.653005838394165)","(0.4784526228904724, 0.6348217129707336)"
56,"(0.5293188095092773, 0.3614961504936218)","(0.5386043190956116, 0.35584136843681335)","(0.5215378999710083, 0.35477954149246216)","(0.5488040447235107, 0.36125510931015015)","(0.5081717371940613, 0.3585132360458374)","(0.5623980164527893, 0.40078476071357727)","(0.48727384209632874, 0.3871540129184723)","(0.5620539784431458, 0.4512493312358856)","(0.4822489023208618, 0.3791210949420929)","(0.5765553712844849, 0.50327467918396)","(0.4870677888393402, 0.35910072922706604)","(0.5324215888977051, 0.49464958906173706)","(0.48663219809532166, 0.49112948775291443)","(0.5261572599411011, 0.5830911993980408)","(0.4944775700569153, 0.5853105187416077)","(0.520163893699646, 0.6530083417892456)","(0.4789758622646332, 0.632759690284729)"
57,"(0.5300476551055908, 0.36195701360702515)","(0.5393859148025513, 0.3559432327747345)","(0.5216696858406067, 0.354481965303421)","(0.5490530133247375, 0.3613166809082031)","(0.5080015063285828, 0.3579199016094208)","(0.5624363422393799, 0.40085911750793457)","(0.48300012946128845, 0.3775634467601776)","(0.5647585391998291, 0.45223915576934814)","(0.4900052845478058, 0.41523995995521545)","(0.5759909749031067, 0.5015144944190979)","(0.49926161766052246, 0.4255199730396271)","(0.5324188470840454, 0.4921145439147949)","(0.485907644033432, 0.4886111319065094)","(0.5255873799324036, 0.5817046761512756)","(0.4945419430732727, 0.5824562907218933)","(0.5200893878936768, 0.6513450145721436)","(0.4787488579750061, 0.6328304409980774)"
58,"(0.5312330722808838, 0.36113104224205017)","(0.5412188172340393, 0.3548707067966461)","(0.5225381255149841, 0.3535487949848175)","(0.5506965517997742, 0.3610641658306122)","(0.5085318684577942, 0.35794129967689514)","(0.563230574131012, 0.40097641944885254)","(0.4838085174560547, 0.37966808676719666)","(0.5639135241508484, 0.4495305120944977)","(0.4785235822200775, 0.3989067077636719)","(0.5769461393356323, 0.49881142377853394)","(0.4980406165122986, 0.42072993516921997)","(0.5334621071815491, 0.49340105056762695)","(0.4853263795375824, 0.49030694365501404)","(0.5258536338806152, 0.5829487442970276)","(0.49562543630599976, 0.5822845101356506)","(0.5192862153053284, 0.6511440277099609)","(0.4781283736228943, 0.6326487064361572)"
59,"(0.5325438380241394, 0.36081546545028687)","(0.5427639484405518, 0.3548639118671417)","(0.5242361426353455, 0.35350164771080017)","(0.5513333678245544, 0.3604600131511688)","(0.5094580054283142, 0.3575582206249237)","(0.5631656050682068, 0.3990013003349304)","(0.4835962951183319, 0.38278380036354065)","(0.5635458827018738, 0.44968724250793457)","(0.48605334758758545, 0.42614564299583435)","(0.5757734775543213, 0.4956672191619873)","(0.5066460967063904, 0.45975905656814575)","(0.5331183075904846, 0.49549534916877747)","(0.48578518629074097, 0.4918213188648224)","(0.5264434218406677, 0.5833268165588379)","(0.49573400616645813, 0.5828064680099487)","(0.5193602442741394, 0.6516155004501343)","(0.4780103862285614, 0.6330438256263733)"
60,"(0.5350982546806335, 0.3604535460472107)","(0.5440989136695862, 0.3544670045375824)","(0.5264728665351868, 0.3535178601741791)","(0.5545994639396667, 0.35958147048950195)","(0.5119228959083557, 0.35836318135261536)","(0.5609444975852966, 0.40159210562705994)","(0.4905191957950592, 0.38506320118904114)","(0.5635377168655396, 0.44921860098838806)","(0.47290492057800293, 0.4191811978816986)","(0.5748010277748108, 0.4948369264602661)","(0.5050609111785889, 0.4498308598995209)","(0.5332426428794861, 0.4962829649448395)","(0.4866373836994171, 0.49460792541503906)","(0.5261867642402649, 0.5839023590087891)","(0.4959010183811188, 0.5833946466445923)","(0.5191487669944763, 0.6534102559089661)","(0.47778090834617615, 0.6354544162750244)"
61,"(0.5342767834663391, 0.36143583059310913)","(0.544477641582489, 0.35532209277153015)","(0.5252652764320374, 0.35435405373573303)","(0.5551730394363403, 0.35996559262275696)","(0.5115745067596436, 0.3586423099040985)","(0.5666161179542542, 0.3994840085506439)","(0.4878004193305969, 0.38369089365005493)","(0.5643231272697449, 0.44745513796806335)","(0.47545263171195984, 0.42724609375)","(0.5745445489883423, 0.49139678478240967)","(0.5024788975715637, 0.46551230549812317)","(0.5351413488388062, 0.4976832866668701)","(0.4845646619796753, 0.494306743144989)","(0.5274561643600464, 0.5826449990272522)","(0.4951576888561249, 0.5823986530303955)","(0.520006000995636, 0.6516823172569275)","(0.4779457151889801, 0.633778989315033)"
62,"(0.5351636409759521, 0.36037954688072205)","(0.5451801419258118, 0.3539276421070099)","(0.5260937213897705, 0.35328856110572815)","(0.5556644201278687, 0.3599027991294861)","(0.5118271708488464, 0.35874125361442566)","(0.5663900375366211, 0.39825502038002014)","(0.48950186371803284, 0.384833425283432)","(0.5648470520973206, 0.44695577025413513)","(0.47377103567123413, 0.4318075478076935)","(0.5726580023765564, 0.4925798773765564)","(0.5062433481216431, 0.47145354747772217)","(0.5356980562210083, 0.49514085054397583)","(0.4844346344470978, 0.49244773387908936)","(0.5262954831123352, 0.5803161263465881)","(0.4953291118144989, 0.5810425877571106)","(0.5200510025024414, 0.6512943506240845)","(0.4787699580192566, 0.63215571641922)"
63,"(0.5357679128646851, 0.3609926104545593)","(0.5456688404083252, 0.3550160825252533)","(0.5271443724632263, 0.3537702262401581)","(0.5567356944084167, 0.35989224910736084)","(0.5116571187973022, 0.35799217224121094)","(0.5643666982650757, 0.4004201292991638)","(0.4908445477485657, 0.3867010474205017)","(0.5641047954559326, 0.4476974904537201)","(0.47199615836143494, 0.4405784010887146)","(0.5711356401443481, 0.4882766306400299)","(0.5028195381164551, 0.48378226161003113)","(0.5351844429969788, 0.49348184466362)","(0.48367971181869507, 0.4928669035434723)","(0.526375412940979, 0.5818073749542236)","(0.49351465702056885, 0.5836196541786194)","(0.519816517829895, 0.6520472168922424)","(0.47920915484428406, 0.6330627202987671)"
64,"(0.536702573299408, 0.3597108721733093)","(0.545985221862793, 0.35382238030433655)","(0.527479887008667, 0.3527803122997284)","(0.5560585260391235, 0.35934293270111084)","(0.5122376680374146, 0.35805919766426086)","(0.566997766494751, 0.39903855323791504)","(0.48777708411216736, 0.3867540955543518)","(0.5647594928741455, 0.44678881764411926)","(0.47118228673934937, 0.4441518783569336)","(0.5709261298179626, 0.4899483919143677)","(0.5050303936004639, 0.48579782247543335)","(0.5373408198356628, 0.4926401674747467)","(0.4830191433429718, 0.4920227825641632)","(0.5262343287467957, 0.5838802456855774)","(0.4927353858947754, 0.584273636341095)","(0.5197725296020508, 0.6502184867858887)","(0.47966882586479187, 0.6318591237068176)"
65,"(0.5370903611183167, 0.35975903272628784)","(0.546593189239502, 0.35321637988090515)","(0.5281590223312378, 0.35238373279571533)","(0.5555747151374817, 0.3587888479232788)","(0.511856198310852, 0.35749155282974243)","(0.5673151612281799, 0.3988727927207947)","(0.48561036586761475, 0.3896338939666748)","(0.5641597509384155, 0.4459789991378784)","(0.47056907415390015, 0.4478459060192108)","(0.570229709148407, 0.48918914794921875)","(0.5046635866165161, 0.48835521936416626)","(0.537405252456665, 0.4933870732784271)","(0.4840184450149536, 0.4927442669868469)","(0.5264030694961548, 0.5830429196357727)","(0.4923555850982666, 0.5845785737037659)","(0.5197728276252747, 0.6511339545249939)","(0.4797312915325165, 0.6322405338287354)"
66,"(0.5375263690948486, 0.357901394367218)","(0.5469136238098145, 0.3525727093219757)","(0.527987539768219, 0.35076552629470825)","(0.5561742186546326, 0.3585869073867798)","(0.5114998817443848, 0.35632938146591187)","(0.5679000020027161, 0.3993467688560486)","(0.4829162061214447, 0.39193856716156006)","(0.5646008849143982, 0.44613516330718994)","(0.4703769087791443, 0.45182088017463684)","(0.5706230998039246, 0.48760056495666504)","(0.5030537843704224, 0.4930402934551239)","(0.5387113094329834, 0.4932078719139099)","(0.4834640622138977, 0.4923119843006134)","(0.5264102220535278, 0.5832981467247009)","(0.49222618341445923, 0.5841823816299438)","(0.5208250284194946, 0.6496618986129761)","(0.48125022649765015, 0.6331860423088074)"
67,"(0.5369032621383667, 0.35934412479400635)","(0.5465883016586304, 0.3529665172100067)","(0.527894914150238, 0.3514421582221985)","(0.5562209486961365, 0.3588124215602875)","(0.5109557509422302, 0.35587450861930847)","(0.567575216293335, 0.3987351357936859)","(0.48388200998306274, 0.39385032653808594)","(0.5642398595809937, 0.4470367133617401)","(0.4709678590297699, 0.4525696635246277)","(0.5708056688308716, 0.4881126284599304)","(0.5018972754478455, 0.4953647553920746)","(0.5403938293457031, 0.4940100610256195)","(0.4854978621006012, 0.49269965291023254)","(0.528226375579834, 0.5833015441894531)","(0.4921945333480835, 0.584199845790863)","(0.5218604803085327, 0.6497199535369873)","(0.482390820980072, 0.6325433850288391)"
