,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle
63,"(0.541735053062439, 0.33505237102508545)","(0.5520102977752686, 0.3287055492401123)","(0.5333510637283325, 0.32672688364982605)","(0.5605985522270203, 0.33466726541519165)","(0.5187644958496094, 0.3303919732570648)","(0.5626699328422546, 0.3747330605983734)","(0.4981555938720703, 0.35144808888435364)","(0.5537214875221252, 0.4254801869392395)","(0.5013058185577393, 0.3862048387527466)","(0.5650044083595276, 0.47478678822517395)","(0.5187251567840576, 0.3955717980861664)","(0.5308657884597778, 0.46669289469718933)","(0.4843604564666748, 0.46354612708091736)","(0.5339314341545105, 0.5488576889038086)","(0.49889203906059265, 0.5526933670043945)","(0.5153191089630127, 0.6014633774757385)","(0.48734143376350403, 0.6210824847221375)"
64,"(0.5415807366371155, 0.3321921229362488)","(0.5524172186851501, 0.326389342546463)","(0.5330792665481567, 0.3244626522064209)","(0.5628910660743713, 0.3320484161376953)","(0.5189594030380249, 0.3287424147129059)","(0.5644315481185913, 0.37460193037986755)","(0.49902892112731934, 0.35597896575927734)","(0.5534288883209229, 0.4247280955314636)","(0.49034571647644043, 0.3923898935317993)","(0.5638296604156494, 0.47396448254585266)","(0.5142899751663208, 0.4205773174762726)","(0.5311293005943298, 0.4658842086791992)","(0.48560643196105957, 0.46222957968711853)","(0.5339996218681335, 0.5468055605888367)","(0.4970475733280182, 0.5520167350769043)","(0.5145361423492432, 0.6023264527320862)","(0.4866166412830353, 0.6224504709243774)"
65,"(0.5424855351448059, 0.33157116174697876)","(0.552542507648468, 0.32574090361595154)","(0.5337131023406982, 0.32421886920928955)","(0.5632115006446838, 0.3317495882511139)","(0.5176532864570618, 0.32960838079452515)","(0.5637940764427185, 0.37375015020370483)","(0.49834194779396057, 0.3559311330318451)","(0.5567697286605835, 0.4251616299152374)","(0.4883706867694855, 0.3952149450778961)","(0.5650133490562439, 0.4727007746696472)","(0.5111446380615234, 0.42808961868286133)","(0.5310660004615784, 0.4678969085216522)","(0.48289141058921814, 0.4656117558479309)","(0.5344175100326538, 0.5459445118904114)","(0.49481600522994995, 0.5512850880622864)","(0.5150030255317688, 0.6008272171020508)","(0.4855496883392334, 0.623447597026825)"
66,"(0.5416240692138672, 0.3322676420211792)","(0.5516266822814941, 0.3254740238189697)","(0.5325480699539185, 0.3245283365249634)","(0.561244785785675, 0.3313332796096802)","(0.5173859000205994, 0.3299665153026581)","(0.5645023584365845, 0.3719272017478943)","(0.49750781059265137, 0.35673946142196655)","(0.5553380846977234, 0.42240872979164124)","(0.48303020000457764, 0.40509045124053955)","(0.5634027719497681, 0.47093722224235535)","(0.5138159990310669, 0.443915456533432)","(0.5294380187988281, 0.4705583453178406)","(0.481065571308136, 0.4679194390773773)","(0.5348769426345825, 0.5456867218017578)","(0.49601539969444275, 0.550330400466919)","(0.5146179795265198, 0.5992244482040405)","(0.48623740673065186, 0.6221758127212524)"
67,"(0.5410193204879761, 0.3320009410381317)","(0.5512692928314209, 0.32518598437309265)","(0.5320185422897339, 0.32422885298728943)","(0.5615034699440002, 0.3307349681854248)","(0.5170146226882935, 0.3294195830821991)","(0.5629162788391113, 0.3697751760482788)","(0.4974190890789032, 0.3577674627304077)","(0.5538306832313538, 0.421083003282547)","(0.4827083349227905, 0.4096905291080475)","(0.5629063844680786, 0.467582106590271)","(0.5152800679206848, 0.4501595199108124)","(0.528722882270813, 0.46984273195266724)","(0.4804939031600952, 0.4671054780483246)","(0.5364353060722351, 0.5448312759399414)","(0.49684202671051025, 0.5504841208457947)","(0.5150921940803528, 0.6015126705169678)","(0.48585692048072815, 0.6199381351470947)"
68,"(0.5406787991523743, 0.3303551971912384)","(0.5511078238487244, 0.32463738322257996)","(0.5315519571304321, 0.32288840413093567)","(0.5619031190872192, 0.3304598927497864)","(0.5171763300895691, 0.32832080125808716)","(0.5616366863250732, 0.37076878547668457)","(0.495146244764328, 0.36031869053840637)","(0.5534254908561707, 0.42027077078819275)","(0.4804893136024475, 0.4160252809524536)","(0.56376051902771, 0.4682910144329071)","(0.5142213106155396, 0.4570946991443634)","(0.53116375207901, 0.47191134095191956)","(0.4815880358219147, 0.46926382184028625)","(0.537202000617981, 0.5469393730163574)","(0.49685946106910706, 0.5538268089294434)","(0.5136383771896362, 0.5985374450683594)","(0.4861578643321991, 0.622556746006012)"
69,"(0.5409814715385437, 0.33014732599258423)","(0.5517920255661011, 0.3235372006893158)","(0.5325382947921753, 0.32223817706108093)","(0.5604857206344604, 0.32931095361709595)","(0.5168337225914001, 0.3272397816181183)","(0.5639429092407227, 0.36863261461257935)","(0.49372225999832153, 0.36207443475723267)","(0.5537275671958923, 0.42000964283943176)","(0.4793524742126465, 0.421252965927124)","(0.5599963665008545, 0.46522006392478943)","(0.5125704407691956, 0.46421903371810913)","(0.5315555334091187, 0.47117555141448975)","(0.479674756526947, 0.47053998708724976)","(0.5375482439994812, 0.5492473244667053)","(0.49571385979652405, 0.5533538460731506)","(0.5150187611579895, 0.5996717214584351)","(0.4863678216934204, 0.6217947006225586)"
70,"(0.540018618106842, 0.32951197028160095)","(0.5504933595657349, 0.32345670461654663)","(0.5318341255187988, 0.32205212116241455)","(0.5601121187210083, 0.32877376675605774)","(0.5160655975341797, 0.3272817134857178)","(0.5617102384567261, 0.36769258975982666)","(0.4939487874507904, 0.3625856935977936)","(0.5527438521385193, 0.4195407032966614)","(0.4777504503726959, 0.4231107831001282)","(0.5592970252037048, 0.4653407335281372)","(0.5161364078521729, 0.4660212993621826)","(0.5320039391517639, 0.4702970087528229)","(0.47953081130981445, 0.47056087851524353)","(0.5361689329147339, 0.5496602654457092)","(0.4960859417915344, 0.5536752343177795)","(0.5138248801231384, 0.5995962619781494)","(0.48600858449935913, 0.6224216818809509)"
71,"(0.540249764919281, 0.3291555941104889)","(0.5503876805305481, 0.32307448983192444)","(0.530712902545929, 0.3217697739601135)","(0.559609055519104, 0.3290093243122101)","(0.5142506957054138, 0.3271111845970154)","(0.5616044998168945, 0.36695167422294617)","(0.49178045988082886, 0.36475396156311035)","(0.5524480938911438, 0.4186953604221344)","(0.47479814291000366, 0.4270186126232147)","(0.5571576356887817, 0.46455860137939453)","(0.5114861726760864, 0.4704609811306)","(0.5333612561225891, 0.4684812128543854)","(0.4802211821079254, 0.4696768820285797)","(0.5360490679740906, 0.5483002662658691)","(0.4953370988368988, 0.5524408221244812)","(0.5131003856658936, 0.5993725657463074)","(0.48606032133102417, 0.623246431350708)"
72,"(0.5403369069099426, 0.33032864332199097)","(0.5499359965324402, 0.3235028386116028)","(0.5305477976799011, 0.322923868894577)","(0.5582619309425354, 0.32872939109802246)","(0.5139065980911255, 0.32770711183547974)","(0.5618273615837097, 0.3684050142765045)","(0.4903944432735443, 0.365659236907959)","(0.552278459072113, 0.41869503259658813)","(0.47281143069267273, 0.42807909846305847)","(0.5570987462997437, 0.46380752325057983)","(0.5108951330184937, 0.4710555374622345)","(0.5342223048210144, 0.46822476387023926)","(0.4806719124317169, 0.4688347280025482)","(0.5376423001289368, 0.5487935543060303)","(0.49541977047920227, 0.5534369945526123)","(0.5144803524017334, 0.5995938181877136)","(0.48547056317329407, 0.622844398021698)"
73,"(0.5398825407028198, 0.3296318054199219)","(0.5493751168251038, 0.32353675365448)","(0.53050696849823, 0.3224755823612213)","(0.5566526055335999, 0.32978108525276184)","(0.5139945149421692, 0.3271755874156952)","(0.5619773268699646, 0.3678662180900574)","(0.48816341161727905, 0.3671036958694458)","(0.5539600253105164, 0.4176558256149292)","(0.4700889587402344, 0.4296889007091522)","(0.5570315718650818, 0.46309685707092285)","(0.5051110982894897, 0.4703996479511261)","(0.5359941720962524, 0.4685632884502411)","(0.48163995146751404, 0.46865811944007874)","(0.5389465093612671, 0.5498492121696472)","(0.49714455008506775, 0.5522181391716003)","(0.5142418146133423, 0.5986751914024353)","(0.485838383436203, 0.6229203939437866)"
